,created_at,entry_id,nivel_de_agua,ultrassom,infravermelho,infravermelho2,Estado
0,2023-04-29T13:42:23-03:00,1,0.0,19.2,0.0,0,problema encontrado
1,2023-04-29T14:21:07-03:00,2,2.0,19.2,0.0,0,problema encontrado
2,2023-05-14T01:45:48-03:00,3,1.0,19.2,0.0,0,problema encontrado
3,2023-05-14T03:24:14-03:00,4,1.0,19.2,0.0,0,problema encontrado
4,2023-05-14T03:24:39-03:00,5,5.0,19.2,0.0,0,problema encontrado
5,2023-05-14T03:25:09-03:00,6,0.0,19.2,0.0,0,problema encontrado
6,2023-05-14T03:25:24-03:00,7,1.0,19.2,0.0,0,problema encontrado
7,2023-05-14T03:25:40-03:00,8,5.0,19.2,0.0,0,problema encontrado
8,2023-05-14T03:25:56-03:00,9,5.0,19.2,0.0,0,problema encontrado
9,2023-05-15T18:38:50-03:00,10,8.0,19.2,0.0,0,problema encontrado
10,2023-05-15T18:39:05-03:00,11,1.0,19.2,0.0,0,problema encontrado
11,2023-05-15T18:39:20-03:00,12,3.0,19.2,0.0,0,problema encontrado
12,2023-05-15T18:39:37-03:00,13,4.0,19.2,0.0,0,problema encontrado
13,2023-05-15T18:39:54-03:00,14,4.0,19.2,0.0,0,problema encontrado
14,2023-05-15T18:40:09-03:00,15,1.0,19.2,0.0,0,problema encontrado
15,2023-05-15T18:40:24-03:00,16,0.0,19.2,0.0,0,problema encontrado
16,2023-05-15T18:40:40-03:00,17,5.0,19.2,0.0,0,problema encontrado
17,2023-05-15T18:40:55-03:00,18,6.0,19.2,0.0,0,problema encontrado
18,2023-05-15T18:41:10-03:00,19,6.0,19.2,0.0,0,problema encontrado
19,2023-05-17T15:31:47-03:00,20,1.0,19.2,0.0,0,problema encontrado
20,2023-05-17T15:32:31-03:00,21,5.0,19.2,0.0,0,problema encontrado
21,2023-05-17T15:33:14-03:00,22,6.0,19.2,0.0,0,problema encontrado
22,2023-05-17T15:33:31-03:00,23,6.0,19.2,0.0,0,problema encontrado
23,2023-05-17T15:34:07-03:00,24,4.0,19.2,0.0,0,problema encontrado
24,2023-05-17T15:34:38-03:00,25,4.0,19.2,0.0,0,problema encontrado
25,2023-05-17T15:34:56-03:00,26,6.0,19.2,0.0,0,problema encontrado
26,2023-05-17T15:35:12-03:00,27,8.0,19.2,0.0,0,problema encontrado
27,2023-05-17T15:35:28-03:00,28,1.0,19.2,0.0,0,problema encontrado
28,2023-05-17T15:36:35-03:00,29,5.0,19.2,0.0,0,problema encontrado
29,2023-05-17T15:36:56-03:00,30,0.0,19.2,0.0,0,problema encontrado
30,2023-05-17T15:37:13-03:00,31,4.0,19.2,0.0,0,problema encontrado
31,2023-05-17T15:37:43-03:00,32,5.0,19.2,0.0,0,problema encontrado
32,2023-05-17T15:37:59-03:00,33,3.0,19.2,0.0,0,problema encontrado
33,2023-05-17T15:38:16-03:00,34,8.0,19.2,0.0,0,problema encontrado
34,2023-05-17T15:38:32-03:00,35,1.0,19.2,0.0,0,problema encontrado
35,2023-05-17T15:38:53-03:00,36,8.0,19.2,0.0,0,problema encontrado
36,2023-05-17T15:39:12-03:00,37,0.0,19.2,0.0,0,problema encontrado
37,2023-05-17T15:39:32-03:00,38,2.0,19.2,0.0,0,problema encontrado
38,2023-05-17T15:39:48-03:00,39,1.0,19.2,0.0,0,problema encontrado
39,2023-05-17T15:40:04-03:00,40,6.0,19.2,0.0,0,problema encontrado
40,2023-05-17T15:40:23-03:00,41,6.0,19.2,0.0,0,problema encontrado
41,2023-05-17T15:40:50-03:00,42,3.0,19.2,0.0,0,problema encontrado
42,2023-05-17T15:41:16-03:00,43,0.0,19.2,0.0,0,problema encontrado
43,2023-05-17T15:41:39-03:00,44,0.0,19.2,0.0,0,problema encontrado
44,2023-05-17T15:41:54-03:00,45,4.0,19.2,0.0,0,problema encontrado
45,2023-05-17T15:42:11-03:00,46,1.0,19.2,0.0,0,problema encontrado
46,2023-05-17T15:42:28-03:00,47,2.0,19.2,0.0,0,problema encontrado
47,2023-05-17T15:42:48-03:00,48,8.0,19.2,0.0,0,problema encontrado
48,2023-05-17T15:44:18-03:00,49,8.0,19.2,0.0,0,problema encontrado
49,2023-05-17T15:44:39-03:00,50,1.0,19.2,0.0,0,problema encontrado
50,2023-05-17T15:45:25-03:00,51,2.0,19.2,0.0,0,problema encontrado
51,2023-05-17T15:45:41-03:00,52,6.0,19.2,0.0,0,problema encontrado
52,2023-05-17T15:46:00-03:00,53,7.0,19.2,0.0,0,problema encontrado
53,2023-05-17T15:46:16-03:00,54,8.0,19.2,0.0,0,problema encontrado
54,2023-05-17T15:46:39-03:00,55,3.0,19.2,0.0,0,problema encontrado
55,2023-05-17T15:47:00-03:00,56,0.0,19.2,0.0,0,problema encontrado
56,2023-05-17T16:23:24-03:00,57,4.0,19.2,0.0,0,problema encontrado
57,2023-06-28T20:53:01-03:00,58,0.0,19.2,0.0,0,problema encontrado
58,2023-08-10T17:09:01-03:00,59,-1.0,19.2,0.0,0,disfuncional
59,2023-08-10T17:42:03-03:00,60,5.0,-1.0,0.0,0,disfuncional
60,2023-08-10T17:42:23-03:00,61,1.0,-1.0,0.0,0,disfuncional
61,2023-08-10T17:42:56-03:00,62,1.0,-1.0,0.0,0,disfuncional
62,2023-08-10T17:43:16-03:00,63,5.0,-1.0,0.0,0,disfuncional
63,2023-08-10T17:43:36-03:00,64,5.0,-1.0,0.0,0,disfuncional
